14.576445,9.722358,-1
6.042467,1.968608,1
9.950522,2.996362,1
6.179600,17.965241,-1
7.475511,7.796706,-1
18.179261,14.481871,1
8.424642,8.710159,-1
5.244816,6.848372,-1
4.408740,9.818626,1
14.610478,9.287445,1
7.783559,13.994177,-1
12.546890,8.534224,1
1.659031,1.303597,-1
6.227226,0.750277,1
9.462222,18.022080,-1
18.977866,18.319526,-1
19.806541,16.837739,-1
9.050970,2.508134,1
18.845563,3.535633,1
16.294561,2.989951,1
19.340583,5.782024,1
5.959013,5.883644,-1
13.346815,5.586636,1
14.367113,8.217139,1
13.723915,8.602707,-1
7.288152,8.629587,-1
8.602304,0.631637,1
18.594779,11.640531,1
12.487545,4.531109,1
4.144637,5.960554,-1
17.860802,19.182552,-1
3.817081,16.087147,-1
11.934185,16.255862,1
13.248547,0.824124,1
4.645601,10.216330,-1
6.048449,2.382425,1
16.028460,2.350757,1
17.140721,15.364650,-1
13.767410,10.546759,1
18.364465,6.205253,1
